comment,typeid,play,pic,subtitle,description,copyright,title,review,author,mid,created,length,video_review,aid,bvid,hide_click,is_pay,is_union_video,is_steins_gate,is_live_playback,like,coin,collect,share,rank
1781,21,1674542,http://i2.hdslb.com/bfs/archive/b6336c8a6b0afbccde77bd1ef423548ee806c184.jpg,,-,1,印度街头随处可见的饮水点。天太热，隔一会儿就得补水。,0,刘庸干净又卫生,533459953,1634275814,00:22,595,891045819,BV1nP4y1t7UE,False,0,0,0,0,7.5万,2798,1661,706,
2200,212,2471396,http://i1.hdslb.com/bfs/archive/bf9b3e4c8629c46ffc2e4625f9c23acd9a537279.jpg,,-,1,今天又来我叔家喝茶了。喝茶的人没走，做茶的走了。,0,刘庸干净又卫生,533459953,1630823807,00:58,2387,505335571,BV1zg411V7A4,False,0,0,0,0,9.5万,5681,2779,1661,
1466,21,2704892,http://i0.hdslb.com/bfs/archive/732abcf51a8a3b7bffdc0384cca7eda7b9e67d0b.jpg,,-,1,和印度老师重逢，明天发分离的。,0,刘庸干净又卫生,533459953,1625904280,00:26,1166,974078254,BV1m44y1q7Z2,False,0,0,0,0,5.7万,2498,3417,1090,
2639,212,5435207,http://i2.hdslb.com/bfs/archive/705d34dae52f2600a4c7bc0b2d8990931271cc7a.jpg,,-,1,印度街头小奶茶，干净又卫生！,0,刘庸干净又卫生,533459953,1624275011,00:47,4608,376317539,BV1No4y1C7om,False,0,0,0,0,9.6万,4050,4470,2.0万,
189,212,572766,http://i2.hdslb.com/bfs/archive/90cfc3050934ea62fe9f423c787e13b41c291300.jpg,,-,1,新朋友罗纳雷斯迪尼奥,0,刘庸干净又卫生,533459953,1619761592,00:57,363,760286259,BV1F64y117Np,False,0,0,0,0,1.6万,375,472,224,
5099,215,2677919,http://i0.hdslb.com/bfs/archive/ab2d1f8ce4d36762b56c0ec97cbe0db7b7b3f1e6.jpg,,-,1,小牛肉非常的新鲜，就是苍蝇有点多。,0,刘庸干净又卫生,533459953,1636084212,00:36,4661,848915429,BV1ZL4y1i7oY,False,0,0,0,0,11.2万,5425,3170,1.0万,
3393,213,2365913,http://i0.hdslb.com/bfs/archive/d14ab310f87748602c84622205a0e3e000f69f8d.jpg,,-,1,太上头了！测评街头小吃“木苹果”不加调料什么味道！突发情况，长毛了！,0,刘庸干净又卫生,533459953,1634192132,04:06,10359,721107517,BV1GQ4y1z789,False,0,0,0,0,14.0万,3.2万,4648,3591,全站排行榜最高第38名
6814,212,8674471,http://i0.hdslb.com/bfs/archive/21a6a121f205b7d3d430143c4ca551bb45e0ec46.jpg,,-,1,好久没来吃这玩意，这次我得休息几天？,0,刘庸干净又卫生,533459953,1630735052,02:32,12417,975259829,BV1W44y187z5,False,0,0,0,0,25.8万,2.9万,1.1万,2.5万,全站排行榜最高第57名
859,212,991691,http://i2.hdslb.com/bfs/archive/1ba94809feb5c54b7d7e8b8bf676e7aa8e85e6c0.jpg,,-,1,印度槟榔挑战又一次失败！,0,刘庸干净又卫生,533459953,1625812779,00:35,830,546541459,BV1Hq4y1x7vs,False,0,0,0,0,3.1万,1173,950,1109,
3109,212,4509515,http://i0.hdslb.com/bfs/archive/bd5634abbdba00d93bec98df676a8048c44d3d48.jpg,,-,1,街头手断芦荟汁，一口气全干了！,0,刘庸干净又卫生,533459953,1624188814,01:48,6307,758675687,BV1k64y1X73Q,False,0,0,0,0,10.6万,1.1万,8832,2.7万,
